Name,Department,Research Introduction,Research Interests,Selected Publications,External Links
"Michael M. Shen, PhD",Genetics and Development,N/A,N/A,"Crowley, L., Cambuli, F., Aparicio, L., Shibata, M., Robinson, B. D., Xuan, S., Li, W., Hibshoosh, H., Loda, M., Rabadan, R., and Shen, M. M. (2020). A single-cell atlas of the mouse and human prostate reveals heterogeneity and conservation of epithelial progenitors. eLife 9: e59465. PMCID: PMC7529463. Lee, S. H., Hu, W., Matulay, J. T., Silva, M. V., Owczarek, T. B., Kim, K., Chua, C. W., Barlow, L. J., Kandoth, C., Williams, A. B., Bergren, S. K., Pietzak, E. J., Anderson, C. B., Benson, M. C., Coleman, J. A., Taylor, B. S., Abate-Shen, C., McKiernan, J. M., Al-Ahmadie, H., Solit, D. B., and Shen, M. M. (2018). Tumor evolution and drug response in patient-derived organoid models of bladder cancer. Cell 173: 515-528. PMCID: PMC5890941. Zou, M., Toivanen, R., Mitrofanova, A., Floc’h, N., Hayati, S., Sun, Y., Le Magnen, C., Chester, D., Mostaghel, E. A., Califano, A., Rubin, M. A., Shen, M. M.*, and Abate-Shen, C. (2017). Transdifferentiation as a mechanism of treatment resistance in a mouse model of castration-resistant prostate cancer. Cancer Discov. 7: 736-749. (*co-corresponding author) Talos, F., Mitrofanova, A., Bergren, S. K., Califano, A., and Shen, M. M. (2017). A computational systems approach identifies synergistic specification genes that facilitate lineage conversion to prostate tissue. Nat. Comm. 8: 14662. PMCID: PMC5413950. Wang, Z. A., Toivanen, R., Bergren, S. K., Chambon, P., and Shen, M. M. (2014). Luminal cells are favored as the cell of origin for prostate cancer. Cell Rep. 8: 1339-1346. PMCID: PMC4163115. Chua, C. W., Shibata, M., Lei, M., Toivanen, R., Barlow, L. J., Bergren, S. K., Badani, K. K., McKiernan, J. M., Benson, M. C., Hibshoosh, H., and Shen, M. M. (2014). Single luminal epithelial progenitors can generate prostate organoids in culture. Nat. Cell Biol. 16: 951-961. PMCID: PMC4183706. Wang, Z. A., Mitrofanova, A., Bergren, S. K., Abate-Shen, C., Cardiff, R. D., Califano, A., and Shen, M. M. (2013). Lineage analysis of basal epithelial cells reveals their unexpected plasticity and supports a cell of origin model for prostate cancer heterogeneity. Nat. Cell Biol. 15: 274-283. PMCID: PMC3743266. Wang, X., Kruithof-de Julio, M., Economides, K. D., Walker, D., Yu, H., Halili, M. V., Hu, Y.-P., Price, S. M., Abate-Shen, C., and Shen, M. M. (2009). A luminal epithelial stem cell that is a cell of origin for prostate cancer. Nature 461: 495-500. PMCID: PMC2800362. For a complete list of publications, please visit PubMed.gov Related News Dr. Michael Shen and Dr. Gary Miller were named fellows of the AAAS 2021! January 26, 2022 Dr. Michael Shen wins BCAN Bladder Cancer Research Award Source: BCAN-Bladder Cancer Advocacy Network July 30, 2018 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://www.ncbi.nlm.nih.gov/myncbi/browse/collection/40347628/?sort=date&amp;direction=descending, https://hwww.bcan.org/2018-bladder-cancer-research-innovation-awardee/, https://www.linkedin.com/company/columbia-university-medical-center/"
"Mimi Shirasu-Hiza, PhD",Genetics and Development,"Our laboratory aims to understand how specific circadian-regulated physiological functions contribute to health and disease using Drosophila melanogaster. Circadian rhythm, or the oscillation of biological functions over the 24 hour day, is increasingly recognized as an important factor in human health. Many diseases have a circadian component, particularly inflammatory diseases. For example, you are most likely to have a heart attack at 8 am, flares of rheumatoid arthritis at 6 am, and an asthma attack at 4 am. Moreover, many diseases (bacterial infeciton, Alzheimer's, Parkinson's, Huntington's, bipolar disease, schizophrenia, epilepsy, breast cancer, aging) are associated with loss of circadian regulation. How does loss of circadian regulation accelerate or delay the progression of disease? We found that, in the fly, circadian mutants are immunocompromised against bacterial pathogens and that the immunity of wild-type flies oscillates with circadian rhythm: flies have different survival times depending on the time of day that they are infected. We now have three major foci for our research: innate immune cell function; metabolism; and sleep. Our overarching goal is to use circadian biology as a prism to understand the interaction, coordination, and regulation of complex physiologies in the whole animal that contribute to disease pathology.","Cellular/Molecular/Developmental Neuroscience Circadian-regulated metabolism Glial Development and Pathology Mitochondria Biology and Disease Neural Degeneration and Repair Neurobiology of Learning and Memory Neurogenetics Sleep Grants 2011 March of Dimes, Basil O'Connor Award 2012 Hirschl Career Award 2013 NIH R01 GM105775 2013 NIH R01 AG045842","- Y. Zhuravlev, S. Hirsch, S.N. Jordan, M. Shirasu-Hiza, J. Dumont, and J.C. Canman. 2017. CYK-4 regulates Rac, not Rho, during cytokinesis. Molecular Biology of the Cell (in press). - O'Connor R.M., Stone E.F., Wayne C.R., Marcinkevicius E.V., Ulgherait M., Delventhal R., Pantalia MM, Hill VM, Zhou CG, McAllister S, Chen A, Ziegenfuss JS, Grueber WB, Canman JC, Shirasu-Hiza MM. A Drosophila model of Fragile X syndrome exhibits defects in phagocytosis by innate immune cells. J Cell Biol 2017 Mar 6;216(3):595-605. doi: 10.1083/jcb.201607093. Epub 2017 Feb 21. • Highlighted in J Cell Biol : Logan M. Fragile phagocytes: FMRP positively regulates engulfment activity. J Cell Biol 2017 Feb 22. doi: 10.1083/jcb.201702034 • Selected as Editors' Choice in Science Signaling : Mushegian A. Impaired phagocytosis in fragile X. Sci Signal. 2017 Apr 4; 10 (473). Doi: 10.1126/scisignal.aan3520 - Sundaramoorthy S, Garcia Badaracco A, Hirsch SM, Park JH, Davies T, Dumont J, Shirasu-Hiza M, Kummel AC, Canman JC.Low efficiency Upconversion Nanoparticles for High-Resolution Coalignment of Near-Infrared and Visible Light Paths on a Light Microscope. . 2017 Feb 21. doi: 10.1021/acsami.6b15322. - Davies T, Sundaramoorthy S, Jordan SN, Shirasu-Hiza M, Dumont J, Canman JC.Using fast-acting temperature-sensitive mutants to study cell division on Caenorhabditis elegans. . 2017;137:283-306. doi: 10.1016/bs.mcb.2016.05.004. - Ulgherait M, Chen A, Oliva MK, Kim HX, Canman JC, Ja WW, Shirasu-Hiza M . Dietary restriction extends the lifespan of circadian mutants tim and per . Cell Metabolism 2016 Dec 13;24(6):763-764. doi: 10.1016/j.cmet.2016.11.002. - Jordan SN, Davies T, Dumont J, Shirasu-Hiza M , Canman JC. Cortical PAR polarity proteins promote robust cytokinesis during asymmetric cell division. Journal of Cell Biology 2016 Jan 4;212(1):39-49. - Allen VW, O'Connor RM, Ulgherait M, Zhou CG, Stone EF, Hill VM, Murphy KR, Canman JC, Ja WW, Shirasu-Hiza MM period -regulated feeding behavior and TOR signaling modulate survival of infection. Current Biology 2015 Dec 29. pii: S0960-9822(15)01490-6. - Amaral FE, Parker D, Randis TM, Kulkarni R, Prince AS, Shirasu-Hiza MM , Ratner AJ. Rheostat Control of S. pneumoniae Virulence by Minimal Manipulation of pneumolysin mRNA Folding Free Energy. PLoS One 2015 Mar 23;10(3):e0119823. - Davies T, Jordan SN, Chand V, Sees JA, Laband K, Carvalho AX, Shirasu-Hiza M , Kovar DR, Dumont J, Canman JC. High-resolution temporal analysis reveals a functional timeline for the molecular regulation of cytokinesis. Developmental Cell 2014 Jul 28;30(2):209-23. - Stone EF, Fulton BO, Ayres JS, Pham LN, Ziauddin J, Shirasu-Hiza MM . The circadian clock protein Timeless regulates phagocytosis of bacteria in Drosophila . PLoS Pathogens Jan;8(1):e1002445. • Highlighted in Nature Rev Microbiol 2012 Feb 13;10(3):162. - Sait M, Kamneva OK, Fay DS, Kirienko NV, Polek J, Shirasu-Hiza MM, Ward NL. Genomic and experimental evidence suggests that Verrucomicrobium spinosum interacts with eukaryotes. Frontiers in Microbiology . 2011 Oct 18;2:211. - Shirasu-Hiza MM , Dionne MS, Pham LN, Ayres JS, Schneider DS. Interactions between circadian rhythm and innate immunity in Drosophila melanogaster . Current Biology 2007 May 15;17(10):R353-5. • Highlighted in Nature 447, Research Highlights, 356-357 (24 May 2007) - Schneider DS, Ayres JS, Brandt SM, Costa A, Dionne MS, Gordon MD, Mabery EM, Moule MG, Pham LN, Shirasu-Hiza MM . Drosophila eiger mutants are sensitive to extracellular pathogens. PLoS Pathogens 2007 Mar; 3(3): e41. - Pham LN, Dionne MS, Shirasu-Hiza M , Schneider DS. A specific primed immune response in Drosophila is dependent on phagocytes. PLoS Pathogens , 2007 Mar; 3(3):e2 - Dionne MS, Pham LN, Shirasu-Hiza M , Schneider DS. Akt and FOXO dysregulation contribute to infection-induced wasting in Drosophila . Current Biology - Mitchison TJ, Maddox P, Gaetz J, Groen A, Shirasu M , Desai A, Salmon ED, Kapoor TM.Roles of polymerization dynamics, opposed motors, and a tensile element in governing the length of Xenopus egg extract spindles. Molecular Biology of the Cell 2005 Jun; 16(6): 3064-76.Epub 2005 Mar 23. - Shirasu-Hiza M , Perlman ZE, Wittmann T, Karsenti E, Mitchison TJ. Eg5 causes elongation of meiotic spindles when flux-associated microtubule depolymerization is blocked. Current Biology 2004 Nov 9; 14(21): 1941-5. - Shirasu-Hiza M , Coughlin P, Mitchison TJ. Identification of XMAP215 as a Microtubule Destabilizing Factor in Xenopus Egg Extract by Biochemical Purification. Journal of Cell Biology 2003 Apr 28;161(2):349-58. For a complete list of publications, please visit PubMed.gov Related News Evolution & Revolution Source: American Museum of Natural History October 28, 2019 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://www.ncbi.nlm.nih.gov.ezproxy.cul.columbia.edu/pubmed/?term=shirasu-hiza, https://www.amnh.org/calendar/genomics-medicine-talk, https://www.linkedin.com/company/columbia-university-medical-center/"
Mijo Simunovic,Genetics and Development,"The first days of animal embryo development are perhaps the most remarkable example of tissue self-organization in all of biology. This process comprises several key developmental milestones, including implantation, the separation of the embryo from the placenta, and gastrulation, which establishes the coordinate system on which all the future organs will form. Perhaps one of the oldest questions in all of biology is how, despite tremendous conservation in embryonic pathways, we develop into completely differently looking organisms – a human always looks like a human and a mouse always looks like a mouse. If we understand these phenomena in great detail, we can harness them and faithfully mimic organ formation in a lab. At the interface of chemical engineering, developmental biology and biophysics, Mijo Simunovic uses human pluripotent stem cells to elucidate the molecular details and the biomechanics underlying early human embryogenesis and organogenesis, with goals to advancing reproductive and regenerative medicine and to faithfully modeling complex human diseases.Organoids are complex tissues derived from stem cells that mimic important aspects of actual organ formation, including biochemical signaling, cellular diversity, and tissue transformations. Simunovic has previously generated an organoid model of the human epiblast, which is the embryonic tissue that gives rise to all the organs. He used this model to demonstrate the molecular mechanism of symmetry breaking, the key first step in establishing the body plan. Following on these efforts, Simunovic builds quantitative organoids to mimic the mechanisms of human embryo implantation and gastrulation; essentially, to understand how we are formed. Beyond elucidating basic biology, Simunovic engineers organoid assays to model various diseases. He is particularly interested in understanding mechanisms of very early embryogenesis whose impairment is the leading cause of pregnancy failure and ectopic pregnancies. Working with biologists and clinicians, Simunovic is also building organ-on-chip technologies to understand the complexity of organ tissues and to modeling complex human diseases.Simunovic received his BS and MS in Chemistry from the University of Zagreb. He received his first PhD in Theoretical Chemistry from the University of Chicago and his second PhD in Condensed Matter Physics from the Curie Institute and the University of Paris VII. He conducted his postdoctoral research in Stem Cell and Developmental Biology at the Rockefeller University as a Junior Fellow of the Simons Society of Fellows. In 2016 he received the Chancellor’s prize from the Sorbonne Universities and in 2017 he won the Science/AAAS & SciLifeLab Prize for Young Scientists in Cell and Molecular Biology.",N/A,"AK Hadjantonakis, ED Siggia, M Simunovic, In vitro modeling of early mammalian embryogenesis, Curr Opin Biomed Eng, 2020 M. Simunovic, J. Metzger, F. Etoc, A. Yoney, A. Ruzo, I. Martyn, G. Croft, D.S. You, A.H. Brivanlou, E.D. Siggia, A 3D model of a human epiblast reveals BMP4-driven symmetry breaking, Nat Cell Biol, 21 (7), 900-910, 2019 M. Simunovic, Biology and physics rendezvous at the membrane, Science, 358 (6368), 1265-1265, 2017 M. Simunovic, A.H. Brivanlou, Organoids, gastruloids and embryoids: new approaches to studying embryogenesis, Development, 144 (6), 976-985, 2017 M. Simunovic, J.B. Manneville, H.F. Renard, E. Evergren, D. Bhatia, A. Kenworthy, H. McMahon, G.A. Voth, J. Prost, L. Johannes, P. Bassereau, A. Callan-Jones, Friction Mediates Scission of Tubular Membranes Scaffolded by BAR-Domain Proteins, Cell, 170 (1), 172-184. e11, 2017 A. Deglincerti, F. Etoc, M.C. Guerra, I. Martyn, J. Metzger, A. Ruzo, M. Simunovic, A. Yoney, A. H. Brivanlou, E. Siggia, and A. Warmflash: Self-organization of human embryonic stem cells on micropatterns, Nat Protocols, 11 (11), 2223, 2016 M. Simunovic, E. Evergren, I. Golushko, C. Prevost, H.F. Renard, L. Johannes, H. McMahon, V. Lorman, G.A. Voth, P. Bassereau: How curvature-generating proteins build scaffolds on membrane nanotubes, Proc Natl Acad Sci U S A, 113 (40), 11226-11231, 2016 M. Simunovic, G.A. Voth, A. Callan-Jones, P. Bassereau: When physics takes over: BAR proteins and membrane curvature, Trends Cell Biol, 25 (12), 780-792, 2015 M. Simunovic, G.A. Voth, Membrane tension controls the assembly of curvature-generating proteins, Nat Commun, 6 (1), 1-8, 2015 H.F. Renard*, M. Simunovic*, J. Lemiere*, E. Boucrot, M.D. Garcia-Castillo, S. Arumu- gam, V. Chambon, C. Lamaze, C. Wunder, A. Kenworthy, A.A. Schmidt, H.T. McMahon, C. Sykes, P. Bassereau, L. Johannes: Endophilin-A2 functions in membrane scission in clathrin-independent endocytosis, Nature, (7535), 493-496, 2015, *co-first authors M. Simunovic, A. Srivastava, G.A. Voth, Linear aggregation of proteins as a prelude to membrane remodeling, Proc Natl Acad Sci U S A, 110 (51), 20396-20401, 2013 Related News Dr. Mijo Simunovic Named a 2023 Pew Scholar in Biomedical Sciences! Source: Columbia News June 13, 2023 The Schaefer Research Scholar Awards 2023! May 8, 2023 Congratulations to NIH Director's New Innovator Award Recipient- Dr. Mijo Simunovic Source: National Institutes of Health Office of Strategic Coordination October 7, 2021 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://news.columbia.edu/news/mijo-simunovic-named-2023-pew-scholar-biomedical-sciences, https://commonfund.nih.gov/newinnovator/AwardRecipients, https://www.linkedin.com/company/columbia-university-medical-center/"
"Joanna Smeeton, PhD",Genetics and Development,N/A,N/A,N/A,"https://ard.bmj.com/content/early/2020/09/21/annrheumdis-2020-218350, https://www.stemcell.columbia.edu/news/announcing-2021-csci-seed-fund-competition-winners, https://www.linkedin.com/company/columbia-university-medical-center/"
"Gary Struhl, PhD",Genetics and Development,"During development, cells are programmed to generate and interpret spatial information so that every cell within a population knows where it is and what to do as a consequence. Dr. Struhl's work uses genetical and molecular approaches in Drosophila to address the fundamental questions (i) what is spatial information?, (ii) how is it generated?, and (iii) how is it interpreted? His work has led to discoveries about the nature and mode action of spatial determinants controlling cell and body patterns, tissue growth and planar cell polarity. These include (i) the Polycomb and HOX “selectors” in specifying body segments; (ii) the transcription and translation factors Bicoid, Caudal, Hunchback and Nanos in organizing global body pattern, (iii) secreted factors of the Hedgehog, Wnt, and BMP/TGFb superfamilies as the first, intercellular gradient morphogens, (iv) Delta/Notch signaling in cell-fate specification, and (v) the serpentine receptors Frizzled and Starry night, and the atypical cadherins Dachsous and Fat, in planar cell polarity.Zuckerman Institute:https://zuckermaninstitute.columbia.edu/gary-struhl-phdStruhl Lab:https://struhl-lab.zuckermaninstitute.columbia.edu/","Cell-cell signaling Cell patterning Organ growth Grants THE MECHANISM OF NOTCH ACTIVATION BY EPSIN-DEPENDENT LIGAND ENDYCYTOSIS IN DROSOPHILA 5RO1GM109183-04 Project Dates: Sep 1 2014 to May 31 2018 CONTROL OF DROSOPHILA WING GROWTH BY MORPHOGEN 1R35GM127141 Project Dates: May 1, 2018 to April 31 2023","Evolutionary plasticity in the requirement for force exerted by ligand endocytosis to activate C. elegans Notch  proteins. Langridge PD et al. Curr. Biol. 2022 Mar 23 A unified mechanism for mechanism for the control of Drosophila wing growth by the morphogens Decapentaplegic and Wingless. Zecca M, Struhl G. PLoS Biol. 2021 Mar 3 Control of Drosophila wing size by morphogen range and hormonal gating. Parker, J, Struhl, G. Proc. Natn. Acad. Sci. U.S.A. 2020 Dec 15 Epsin-dependent ligand endocytosis activates Notch by force. Langridge PD, Struhl G. Cell. 2017 Nov 30 Causal role for inheritance of H3K27me3 in maintaining the OFF state of a Drosophila HOX gene. Coleman RT, Struhl G. Science .2017 Mar 16 Fat/Dachsous Signaling Promotes Drosophila Wing Growth by Regulating the Conformational State of the NDR Kinase Warts. Vrabioiu AM, Struhl G. Dev Cell .2015 Dec 21 A feed-forward circuit linking wingless, fat-dachsous signaling, and the warts-hippo pathway to Drosophila wing growth. Zecca M, Struhl G. PLoS Biol .2010 Jun 1 For a complete list of publications, please visit PubMed.gov Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://zuckermaninstitute.columbia.edu/gary-struhl-phd, https://struhl-lab.zuckermaninstitute.columbia.edu/, https://zuckermaninstitute.columbia.edu/gary-struhl-phd, https://struhl-lab.zuckermaninstitute.columbia.edu/, https://www.ncbi.nlm.nih.gov/myncbi/browse/collection/41332206/?sort=&amp;direction=, https://www.linkedin.com/company/columbia-university-medical-center/"
"Yousin Suh, PhD",Genetics and Development,N/A,N/A,N/A,"https://www.yousinsuhlab.org/our-team, https://www.insider.com/rapamycin-antiaging-drug-for-ovaries-infertility-2023-4?utm_source=CUIMC%20WMR%20Group&utm_campaign=ecee217b42-EMAIL_CAMPAIGN_2019_06_20_03_30_COPY_01&utm_medium=email&utm_term=0_94b258956c-ecee217b42-166080613, https://www.buckinstitute.org/news/global-consortium-for-reproductive-longevity-equality-announces-first-grant-recipients/, https://www.linkedin.com/company/columbia-university-medical-center/"
"Lorraine S. Symington, PhD",Genetics and Development,Genetics and biochemistry of DNA recombination and repair in yeast. The long-term objective of my research is to identify the proteins that catalyze homologous recombination in eukaryotes.,N/A,N/A,https://www.linkedin.com/company/columbia-university-medical-center/
"Joseph Terwilliger, PhD",Genetics and Development,N/A,Population genetic epidemiology and gene mapping.,"1. Weiss KM, Terwilliger JD : (2000) How many diseases do you have to study to map one gene with SNPs? . Nature Genetics 26: 151-158 2. Terwilliger JD, Hiekkalinna T. : (2006) An utter refutation of the ""fundamental theorem of the HapMap"". European Journal of Human Genetics 14: 426-437 3. Li Z, Szabolcs M, Terwilliger JD, Efstratiadis A: (2006) Prostatic intraepithelial neoplasia and adenocarcinoma in mice expressing a probasin-Neu oncogenic transgene. Carcinogenesis 27: 1054-1067 4. Lambert BW, Terwilliger JD, Weiss KM.: (2008) ForSim: a tool for exploring the genetic architecture of complex traits with controlled truth.. Bioinformatics 24: 1821-1822 5. Hiekkalinna T, SchÃ¤ffer AA, Lambert B, Norrgrann P, GÃ¶ring HH, Terwilliger JD.: (2011) PSEUDOMARKER: a powerful program for joint linkage and/or linkage disequilibrium analysis on mixtures of singletons and related individuals. . Human Heredity 71: 256-266 6. Luukonen TM, PÃ¶yhÃ¶nen M, Palotie A, Ellonen P, LagstrÃ¶m S, Lee JH, Terwilliger JD, Salonen R, Varilo T. : (2012) A balanced translocation truncates Neurotrimin in a family with intracranial and thoracic aortic aneurysm.. J Med Genet 49: 621-629 Global Health Activities Korean diaspora project (North korea, South Korea, China, Kazakhstan, Russia, Sweden) Pyongyang University of Science and Technology - Adjunct Professor Finnish National Institute of Health and Welfare - Leading Expert Maracaibo Aging Project co-PI - venezuela Asian and Circumpolar Genome Project - (Japan, South Korea, Russia, Canada, Greenland, Mongolia, Kazakhstan) Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top",https://www.linkedin.com/company/columbia-university-medical-center/
"Andrew Tomlinson, PhD",Genetics and Development,"Cells in developing tissues are directed to their appropriate differentiation fate by signals they receive from other cells. A key goal is to understand the mechanisms by which cells produce and release the signals and the processes by which other cells receive and interpret those signals. We examine these processes in the developing fruit fly in both neural and non-neural tissues. The retina is ideally suited for the study of short range signaling, and our investigations focus on how specific photoreceptor cell fates are directed by the intercellular signaling mechanisms. We are also investigating long-range signaling mechanism that direct developmental behavior of cells, both in the retina and in non-neural tissues such as the wing and leg.",Cell Specification and Differentiation Cellular Interactions in Drosophila Development,"Mason D,Cohen S,OsDonnell J, Baxter K ,Chase A. Managed Care Organizations Arrangements with Nurse Practitioners. Nursing Economics,15 (6),306-314. Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top",https://www.linkedin.com/company/columbia-university-medical-center/
"Aaron D Viny, MD",Genetics and Development,"Normal gene expression is controlled, in part, through multiple regulatory systems which coordinate transcription. This includes transcription factors that recruit enzymes to express genes as well as an evolving understanding of the 3-dimensional chromatin architecture which brings together either DNA enhancer regions to activate genes or DNA insulation regions to silence genes. Structural scaffold proteins such at CTCF and the cohesin complex are essential in maintaining the integrity of local DNA structural interactions within defined neighborhoods known as topologically associating domains (TADs).These proteins provide dynamic structure within the TAD which is essential in influencing dynamic cell-type specific transcriptional programs. Genes which contribute to transcriptional regulation, including members of the cohesin complex, are frequently mutated in human cancers, including acute myeloid leukemia (12-20%), glioblastoma multiforme (5%), bladder cancer (20-35%) and Ewing sarcoma (40-50%).The functional consequences of chromatin structure in regulating lineage-specification, signal-dependent responses, and local/distant DNA structure has not been fully elucidated, however, our recent work has established the requirement of suitable chromatin architecture for the function of cell-type specific transcription factors to activate gene responsible for blood formation bone marrow stem cell differentiation.Our laboratory uses genetic mouse models and primary patient samples to understand the role of altered chromatin architecture as a regulator of gene expression/gene silencing that maintain the balance of hematopoietic stem cell self-renewal with differentiation and blood formation.",N/A,"Viny AD, Levine RL. Drug Modulation by Nuclear Condensates. Science . 2020 Jun 19; 6497(368): 1314-1315. Kishtagari A, Levine RL, VinyAD. Driver Mutations in Acute Myeloid Leukemia. Curr Opin Hematol . 2020 March;27(2): 49-57. PMID: 31972687 Viny AD, Bowman RL, Liu Y, Lavallée VP, Eisman S, Xiao W, Durham B, Navitski A, Park J, Braunstein S, Alija B, Karzai A, Csete IS, Witkin M, Azizi E, Baslan T, Ott CJ, Pe’er D, Dekker J, Koche R, Levine RL. Cohesin members Stag1 and Stag2 display distinct roles in chromatin accessibility and topological control of HSC self-renewal and differentiation. Cell Stem Cell November 7, 25(5): 682-696 e688. PMID: 31495782 Viny AD , Levine RL. Cohesin mutations in myeloid malignancies made simple. Curr Opin Hematol . 2017 Dec 22. PubMed PMID: 29278534 Viny AD , Levine RL. Roads Diverge--A Robert Frost View of Leukemia Development . N Engl J Med . 2016 Jun 9;374(23):2282-4. PubMed PMID: 27276567. van Galen P, Viny AD , Ram O, Ryan RJH, Cotton MJ, Donohue L, Sievers C, Drier Y, Liau BB, Gillespie SM, Carroll KM, Cross MB, Levine RL, Bernstein BE. A Multiplexed System for Quantitative Comparisons of Chromatin Landscapes. Molecular Cel l . 2016 Jan 7 PMID:26687680 Viny AD*, Ott CJ*, Spitzer B, Rivas M, Meydan C, Papalexi E, Yelin D, Shank K, Reyes J, Chiu A, Romin Y, Boyko V, Thota S, Maciejewski JP, Melnick A, Bradner JE, Levine RL. Dose-dependent role of the cohesin complex in normal and malignant hematopoiesis. Journal of Experimental Medicine , 2015 Oct 5 PMID: 2648361. Thota S*, Viny AD *, Makishima H, Spitzer B, Radivoyevitch T, Przychodzen B, Sekeres MA, Levine RL, Maciejewski JP. Genetic alterations of the cohesin complex genes in myeloid malignancies, Blood, 2014 Sept 11;124(11): 1790-8. PMID: 25006131 Related News Dr. Aaron Viny wins scholar award for translational research in leukemia Source: HICCC February 16, 2021 Columbia University Irving Medical Center NewYork-Presbyterian ColumbiaDoctors About Us Education Research Labs Columbia University 630 West 168th Street New York , NY 10032 United States Follow Us Facebook Twitter YouTube LinkedIn © 2024 Columbia University Privacy Policy Terms and Conditions HIPAA General Information: 212-305-2862 Back to top","https://cancer.columbia.edu/dr-aaron-viny-wins-scholar-award-translational-research-leukemia, https://www.linkedin.com/company/columbia-university-medical-center/"
